,주소,충전소명,위도,경도
74,서울특별시 광진구 능동로 346,서울시 중곡2동 주민센터,37.5603080,127.0814870
75,서울특별시 광진구 능동로 346 ,서울시 중곡2동 주민센터,37.5601504685,127.0814763513
76,서울특별시 광진구 능동로 400,보건복지행정타운 충전소,37.565011,127.0845968
77,서울특별시 광진구 능동로 400,보건복지행정타운(경기북부) 급속충전소,37.565011,127.0845968
78,서울특별시 광진구 능동로 427,광진 한전부지 임시공영주차장,37.56729792,127.0841291
79,서울특별시 광진구 능동로 69,자양 호반써밋아파트 (완속충전기),37.5378412,127.0689943
80,서울특별시 광진구 능동로 69,자양 호반써밋아파트,37.537841231,127.06899427
82,서울특별시 광진구 능동로 76,광진문화예술회관,37.5375337,127.0705319
83,서울특별시 광진구 능동로 81,서울광진 더라움펜트하우스3(B6),37.5383612,127.0693126
84,서울특별시 광진구 능동로 81,서울광진 더라움펜트하우스2(B5),37.538354599,127.06918404
85,서울특별시 광진구 능동로 81,서울광진 더라움펜트하우스1(B3),37.538250998,127.06916132
86,서울특별시 광진구 능동로17길 39,서울시 화양동 주민센터,37.5465421,127.0713152
87,서울특별시 광진구 능동로17길 39 ,서울시 화양동 주민센터,37.5465375591,127.0713178828
88,서울특별시 광진구 능동로27가길 4,서울시 광진구 거주자전용주차장,37.5538614,127.0766213
89,서울특별시 광진구 능동로3길 66-12,50동부캠퍼스,37.534806037,127.06369077
91,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,50동부캠퍼스,37.5348109,127.0636792
92,서울특별시 광진구 능동로4길 40,서울광진 이튼타워리버5차아파트,37.5321114,127.0694542
93,서울특별시 광진구 답십리로78길 37-8,서울시 광진구 이루센트라빌,37.5536145,127.0757125
94,서울특별시 광진구 동일로 156,서울시 광진구 에이치에비뉴건대점,37.5460367,127.0665684
95,서울특별시 광진구 동일로 156,서울시 광진구 에이치에비뉴건대점,37.546036673,127.06656834
96,서울특별시 광진구 동일로 178,서울시 광진구 광진켐퍼스시티,37.547814268539,127.067810065
97,서울특별시 광진구 동일로 178,서울시 광진구 광진켐퍼스시티,37.5478327,127.0677534
98,서울특별시 광진구 동일로76가길 28,서울시 중곡3동 주민센터,37.5688155,127.0801511
99,서울특별시 광진구 뚝섬로 52길 74,자양2동유수지 공영주차장,37.529553,127.077544
100,서울특별시 광진구 뚝섬로 52길 74,자양2동유수지 공영주차장,37.5293893,127.0775398
101,서울특별시 광진구 뚝섬로 568,서울시 자양3동 주민센터,37.5338420,127.0729130
102,서울특별시 광진구 뚝섬로 568 ,서울시 자양3동 주민센터,37.5338324939,127.0729033289
103,서울특별시 광진구 뚝섬로24길 74,서울 광진한화꿈에그린아파트,37.5337973,127.0618879
104,서울특별시 광진구 뚝섬로24길 74,광진한화꿈에그린,37.533388767,127.06198839
105,서울특별시 광진구 뚝섬로26길 58,서울시 자양4동 주민센터,37.5341115,127.0662969
106,서울특별시 광진구 뚝섬로26길 58 ,서울시 자양4동 주민센터,37.5340958963,127.066259942
107,서울특별시 광진구 뚝섬로31길 20,서울시 광진구 자양대동아파트,37.53600541,127.06811854
108,서울특별시 광진구 뚝섬로34길 67,서울광진 광진트라팰리스2,37.5316854,127.0682915
109,서울특별시 광진구 뚝섬로34길 67,광진트라팰리스2,37.5318554,127.0677745
110,서울특별시 광진구 뚝섬로34길 67,광진트라팰리스1,37.5318554,127.0677745
111,서울특별시 광진구 뚝섬로34길 67,서울광진트라팰리스A주차장,37.531545,127.068262
112,서울특별시 광진구 뚝섬로34길 67,서울광진트라팰리스B주차장,37.532132,127.0677657
113,서울특별시 광진구 뚝섬로34길 67,서울광진 광진트라팰리스1,37.5316854,127.0682915
114,서울특별시 광진구 뚝섬로36길 19,서울광진 자양8차현대홈타운,37.5337788,127.0722798
115,서울특별시 광진구 뚝섬로36길 75,강변아이파크 101동,37.531294,127.0696502
116,서울특별시 광진구 뚝섬로52길 58,서울시 광진구 자양유수지P,37.52953686,127.07828456
117,서울특별시 광진구 뚝섬로52길 58,광진 자양유수지 공영주차장,37.52953686,127.0782846
118,서울특별시 광진구 뚝섬로52길 66,서울시 광진구 자양문화체육센터,37.529215519,127.07766798
119,서울특별시 광진구 뚝섬로52길 71,서울광진 자양경남아파트,37.5287627,127.078858
